[ 2025-08-30 15:40:37,598 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-08-30 15:40:40,055 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-08-30 15:40:40,061 ] 107 dagshub - INFO - Accessing as hamideh.shahrabi
[ 2025-08-30 15:40:40,266 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/hamideh.shahrabi/networksecurity "HTTP/1.1 200 OK"
[ 2025-08-30 15:40:40,394 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-08-30 15:40:40,396 ] 107 dagshub - INFO - Initialized MLflow to track repo "hamideh.shahrabi/networksecurity"
[ 2025-08-30 15:40:40,396 ] 107 dagshub - INFO - Repository hamideh.shahrabi/networksecurity initialized!
[ 2025-08-30 15:40:40,396 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-30 15:40:44,496 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-30 15:40:44,496 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-30 15:40:44,496 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-30 15:40:44,522 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-30 15:40:44,522 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-30 15:40:44,525 ] 27 root - INFO - Initiate the data Validation
[ 2025-08-30 15:40:44,539 ] 32 root - INFO - Required number of columns:2
[ 2025-08-30 15:40:44,539 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-30 15:40:44,539 ] 32 root - INFO - Required number of columns:2
[ 2025-08-30 15:40:44,539 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-30 15:40:44,618 ] 29 root - INFO - data Validation Completed
[ 2025-08-30 15:40:44,618 ] 34 root - INFO - data Transformation started
[ 2025-08-30 15:40:44,618 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-30 15:40:44,618 ] 65 root - INFO - Starting data transformation
[ 2025-08-30 15:40:44,629 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-30 15:40:44,629 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-30 15:40:44,633 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-30 15:40:44,634 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-30 15:40:44,634 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-30 15:40:44,637 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-30 15:40:44,637 ] 38 root - INFO - data Transformation completed
[ 2025-08-30 15:40:44,637 ] 42 root - INFO - Model Training stared
[ 2025-08-30 15:44:39,322 ] 872 urllib3.connectionpool - WARNING - Retrying (Retry(total=6, connect=7, read=6, redirect=7, status=7)) after connection broken by 'ReadTimeoutError("HTTPConnectionPool(host='127.0.0.1', port=4010): Read timed out. (read timeout=120)")': /api/2.0/mlflow/runs/create
