[ 2025-08-30 15:55:27,120 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-08-30 15:55:29,631 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-08-30 15:55:29,636 ] 107 dagshub - INFO - Accessing as hamideh.shahrabi
[ 2025-08-30 15:55:29,832 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/hamideh.shahrabi/networksecurity "HTTP/1.1 200 OK"
[ 2025-08-30 15:55:29,945 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-08-30 15:55:29,948 ] 107 dagshub - INFO - Initialized MLflow to track repo "hamideh.shahrabi/networksecurity"
[ 2025-08-30 15:55:29,948 ] 107 dagshub - INFO - Repository hamideh.shahrabi/networksecurity initialized!
[ 2025-08-30 15:55:29,949 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-30 15:55:34,229 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-30 15:55:34,230 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-30 15:55:34,230 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-30 15:55:34,257 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-30 15:55:34,257 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-30 15:55:34,260 ] 27 root - INFO - Initiate the data Validation
[ 2025-08-30 15:55:34,271 ] 32 root - INFO - Required number of columns:2
[ 2025-08-30 15:55:34,272 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-30 15:55:34,272 ] 32 root - INFO - Required number of columns:2
[ 2025-08-30 15:55:34,272 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-30 15:55:34,334 ] 29 root - INFO - data Validation Completed
[ 2025-08-30 15:55:34,334 ] 34 root - INFO - data Transformation started
[ 2025-08-30 15:55:34,334 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-30 15:55:34,334 ] 65 root - INFO - Starting data transformation
[ 2025-08-30 15:55:34,346 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-30 15:55:34,346 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-30 15:55:34,351 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-30 15:55:34,353 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-30 15:55:34,353 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-30 15:55:34,355 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-30 15:55:34,355 ] 38 root - INFO - data Transformation completed
[ 2025-08-30 15:55:34,355 ] 42 root - INFO - Model Training stared
